alert_id,sensor_node_id,social_node_id,incident_type,sensor_location,timestamp,sequence_frame,temperature_celsius,smoke_density_ppm,co2_level_ppm,humidity_percentage,crowd_density,traffic_density,visibility_score,fire_area_ratio,network_latency_ms,propagation_delay_sec,routing_path_length,node_influence_score,coverage_percentage,alert_reliability_score,social_alerts_forwarded,response_time_sec,emergency_severity,alert_priority,fire_detected,smoke_detected,sensor_confidence_score,mobile_alerts_sent,citizen_reports_received,target_label
ALERT_000012,FIRE_NODE_0017,USER_NODE_05169,building_fire,forest_region,2026-05-14 12:11:38.298300,3,191.18,439.27,1420.68,7.65,0.595,0.681,0.065,0.3353,196.67,39.07,4,0.216,81.46,0.812,2324,562.35,critical,urgent,1,1,0.74,14408,367,2
ALERT_000013,FIRE_NODE_0162,USER_NODE_03484,kitchen_fire,parking_area,2026-05-14 12:11:41.298300,13,104.69,207.09,4668.65,62.03,0.265,0.663,0.785,0.3631,433.13,15.27,15,0.138,93.83,0.961,2634,381.7,critical,urgent,1,1,0.798,7567,73,2
ALERT_000014,FIRE_NODE_0136,USER_NODE_02288,electrical_fire,forest_region,2026-05-14 12:11:44.298300,19,106.11,893.07,4547.29,62.66,0.782,0.646,0.126,0.1093,720.87,36.78,7,0.059,46.09,0.892,2391,8.01,moderate,high,1,1,0.747,6593,185,1
ALERT_000015,FIRE_NODE_0113,USER_NODE_02267,industrial_fire,parking_area,2026-05-14 12:11:47.298300,3,141.03,854.92,3468.63,19.58,0.715,0.245,0.343,0.4865,526.71,51.1,13,0.675,74.1,0.727,193,223.79,critical,urgent,1,1,0.777,14158,56,2
ALERT_000016,FIRE_NODE_0079,USER_NODE_02622,warehouse_fire,metro_station,2026-05-14 12:11:50.298300,20,87.7,1169.77,2329.63,62.98,0.635,0.797,0.502,0.3771,404.16,12.52,2,0.736,56.85,0.707,1577,389.06,critical,urgent,1,1,0.751,6302,305,2
ALERT_000017,FIRE_NODE_0240,USER_NODE_08670,forest_fire,residential_building,2026-05-14 12:11:53.298300,4,209.58,1148.4,4625.4,29.06,0.025,0.929,0.435,0.6285,771.62,51.33,11,0.33,63.11,0.947,2200,193.57,critical,urgent,1,1,0.749,12352,136,2
ALERT_000018,FIRE_NODE_0394,USER_NODE_05574,urban_fire,forest_region,2026-05-14 12:11:56.298300,14,142.44,1128.49,3662.53,42.05,0.106,0.619,0.941,0.0954,424.3,52.77,3,0.754,81.82,0.904,1859,218.9,moderate,high,1,1,0.785,103,488,1
ALERT_000019,FIRE_NODE_0370,USER_NODE_04316,industrial_fire,industrial_area,2026-05-14 12:11:59.298300,17,186.64,987.33,4415.12,64.36,0.516,0.507,0.768,0.4242,567.53,47.95,15,0.896,60.28,0.809,436,60.92,critical,urgent,1,1,0.868,14312,320,2
ALERT_000020,FIRE_NODE_0153,USER_NODE_08318,industrial_fire,warehouse_zone,2026-05-14 12:12:02.298300,5,51.29,601.47,2987.64,23.63,0.595,0.04,0.084,0.5356,300.95,8.5,6,0.546,86.2,0.763,662,375.62,critical,urgent,1,1,0.725,8887,488,2
ALERT_000021,FIRE_NODE_0399,USER_NODE_08690,urban_fire,shopping_mall,2026-05-14 12:12:05.298300,16,54.04,675.12,2978.79,46.43,0.729,0.976,0.515,0.2133,640.25,16.98,1,0.467,44.71,0.707,459,577.78,moderate,high,1,1,0.942,5997,449,1
ALERT_000022,FIRE_NODE_0426,USER_NODE_05039,electrical_fire,residential_building,2026-05-14 12:12:08.298300,8,166.8,538.03,1362.5,15.17,0.258,0.554,0.693,0.4308,238.35,57.34,15,0.751,73.26,0.877,2324,254.66,critical,urgent,1,1,0.772,1340,43,2
ALERT_000023,FIRE_NODE_0375,USER_NODE_07963,warehouse_fire,commercial_complex,2026-05-14 12:12:11.298300,18,107.3,928.79,663.33,12.54,0.056,0.05,0.82,0.4589,389.86,6.77,13,0.517,68.41,0.75,516,263.14,critical,urgent,1,1,0.816,2153,337,2
ALERT_000024,FIRE_NODE_0244,USER_NODE_09008,electrical_fire,forest_region,2026-05-14 12:12:14.298300,17,152.77,791.3,799.34,29.35,0.63,0.508,0.821,0.4299,147.09,5.16,14,0.66,41.59,0.87,2485,564.44,critical,urgent,1,1,0.867,6982,493,2
ALERT_000025,FIRE_NODE_0109,USER_NODE_08836,warehouse_fire,warehouse_zone,2026-05-14 12:12:17.298300,10,112.93,800.48,2616.31,40.47,0.942,0.392,0.915,0.589,172.72,5.09,7,0.146,41.09,0.727,2752,411.39,critical,urgent,1,1,0.721,10697,191,2
ALERT_000026,FIRE_NODE_0225,USER_NODE_08480,building_fire,commercial_complex,2026-05-14 12:12:20.298300,8,100.82,1026.26,702.4,57.94,0.289,0.127,0.677,0.4107,704.43,44.37,4,0.813,56.92,0.751,263,451.62,critical,urgent,1,1,0.934,5589,10,2
ALERT_000027,FIRE_NODE_0302,USER_NODE_09076,electrical_fire,warehouse_zone,2026-05-14 12:12:23.298300,1,218.34,542.13,2236.88,55.47,0.347,0.931,0.823,0.2817,605.68,45.52,2,0.148,94.15,0.847,2900,496.74,critical,urgent,1,1,0.793,10389,30,2
ALERT_000028,FIRE_NODE_0118,USER_NODE_01105,urban_fire,shopping_mall,2026-05-14 12:12:26.298300,3,201.72,515.91,647.69,63.85,0.1,0.326,0.905,0.6181,467.28,38.28,9,0.476,57.59,0.795,975,405.15,critical,urgent,1,1,0.918,4612,342,2
ALERT_000029,FIRE_NODE_0249,USER_NODE_03511,industrial_fire,industrial_area,2026-05-14 12:12:29.298300,19,183.53,964.37,1001.31,37.14,0.067,0.554,0.447,0.5776,293.71,7.91,10,0.186,85.69,0.879,1937,65.17,critical,urgent,1,1,0.724,4031,401,2
ALERT_000030,FIRE_NODE_0243,USER_NODE_06670,electrical_fire,commercial_complex,2026-05-14 12:12:32.298300,4,167.67,161.49,4216.18,50.91,0.091,0.094,0.938,0.2464,309.1,48.96,11,0.95,99.16,0.918,1766,228.87,moderate,high,1,1,0.724,5854,216,1
ALERT_000031,FIRE_NODE_0211,USER_NODE_07652,warehouse_fire,residential_building,2026-05-14 12:12:35.298300,4,181.0,705.41,2466.58,63.91,0.12,0.498,0.06,0.3073,63.92,8.01,1,0.162,78.95,0.916,1650,352.1,critical,urgent,1,1,0.979,11981,173,2
ALERT_000032,FIRE_NODE_0410,USER_NODE_01791,electrical_fire,warehouse_zone,2026-05-14 12:12:38.298300,7,110.6,400.0,4421.84,19.53,0.964,0.022,0.923,0.0328,715.09,32.13,9,0.993,44.43,0.861,1838,581.74,low,medium,1,1,0.852,2346,216,0
ALERT_000033,FIRE_NODE_0094,USER_NODE_04564,building_fire,warehouse_zone,2026-05-14 12:12:41.298300,3,155.14,859.24,2599.98,45.79,0.588,0.902,0.091,0.1862,761.32,53.53,8,0.483,77.21,0.78,2255,116.93,moderate,high,1,1,0.834,1654,25,1
ALERT_000034,FIRE_NODE_0334,USER_NODE_08857,warehouse_fire,residential_building,2026-05-14 12:12:44.298300,3,106.84,733.69,942.03,68.34,0.986,0.701,0.532,0.2046,654.76,41.4,15,0.204,94.66,0.939,969,570.13,moderate,high,1,1,0.91,2774,208,1
ALERT_000035,FIRE_NODE_0249,USER_NODE_07887,electrical_fire,metro_station,2026-05-14 12:12:47.298300,2,152.35,548.43,4704.01,61.29,0.055,0.036,0.389,0.5278,790.08,9.87,3,0.614,62.85,0.981,1553,506.06,critical,urgent,1,1,0.943,85,199,2
ALERT_000036,FIRE_NODE_0136,USER_NODE_07455,forest_fire,metro_station,2026-05-14 12:12:50.298300,18,127.02,544.6,1802.99,8.66,0.866,0.815,0.95,0.6478,453.24,46.37,11,0.948,90.98,0.772,2943,273.07,critical,urgent,1,1,0.737,8023,79,2
ALERT_000037,FIRE_NODE_0098,USER_NODE_04862,electrical_fire,residential_building,2026-05-14 12:12:53.298300,19,211.96,758.92,1606.03,48.66,0.622,0.365,0.152,0.4382,425.84,46.57,12,0.544,91.13,0.86,2221,338.76,critical,urgent,1,1,0.954,1048,382,2
ALERT_000038,FIRE_NODE_0161,USER_NODE_00937,urban_fire,parking_area,2026-05-14 12:12:56.298300,17,115.61,230.1,726.64,54.08,0.624,0.707,0.242,0.093,31.34,21.68,15,0.61,63.53,0.827,2176,542.97,moderate,high,1,1,0.801,2629,29,1
ALERT_000039,FIRE_NODE_0492,USER_NODE_08321,urban_fire,industrial_area,2026-05-14 12:12:59.298300,3,134.95,957.69,2344.79,45.44,0.864,0.95,0.182,0.6026,403.85,16.24,10,0.486,98.8,0.843,279,200.61,critical,urgent,1,1,0.884,11112,441,2
ALERT_000040,FIRE_NODE_0121,USER_NODE_06616,urban_fire,warehouse_zone,2026-05-14 12:13:02.298300,19,87.03,164.97,1167.07,13.32,0.16,0.147,0.627,0.1223,289.62,53.91,10,0.5,80.05,0.75,163,119.41,moderate,high,1,1,0.712,10197,41,1
ALERT_000041,FIRE_NODE_0215,USER_NODE_09563,industrial_fire,shopping_mall,2026-05-14 12:13:05.298300,9,74.56,392.02,1378.85,10.77,0.129,0.466,0.236,0.24,412.67,41.73,4,0.087,87.96,0.882,2744,53.65,moderate,high,1,1,0.953,11784,160,1
ALERT_000042,FIRE_NODE_0123,USER_NODE_04352,building_fire,industrial_area,2026-05-14 12:13:08.298300,10,206.15,148.41,1818.26,57.4,0.751,0.193,0.238,0.244,397.93,37.48,8,0.4,67.75,0.917,1296,26.83,moderate,high,1,1,0.773,12368,479,1
ALERT_000043,FIRE_NODE_0038,USER_NODE_00153,building_fire,commercial_complex,2026-05-14 12:13:11.298300,3,169.84,1082.63,2851.38,39.59,0.116,0.453,0.529,0.1614,230.01,23.26,9,0.069,59.32,0.761,874,199.86,moderate,high,1,1,0.735,8338,135,1
ALERT_000044,FIRE_NODE_0068,USER_NODE_05719,urban_fire,warehouse_zone,2026-05-14 12:13:14.298300,12,200.84,744.82,3588.05,56.3,0.503,0.096,0.533,0.3835,601.44,26.47,5,0.171,57.03,0.805,647,389.32,critical,urgent,1,1,0.866,7229,426,2
ALERT_000045,FIRE_NODE_0279,USER_NODE_04957,industrial_fire,residential_building,2026-05-14 12:13:17.298300,18,107.32,1184.9,3265.41,20.42,0.111,0.161,0.271,0.1086,165.52,17.82,5,0.215,93.81,0.723,2718,317.08,moderate,high,1,1,0.819,1747,480,1
ALERT_000046,FIRE_NODE_0450,USER_NODE_02201,forest_fire,commercial_complex,2026-05-14 12:13:20.298300,4,216.92,205.48,2350.56,68.02,0.867,0.819,0.282,0.1152,541.54,55.83,12,0.579,74.3,0.781,2267,462.85,moderate,high,1,1,0.754,2596,139,1
ALERT_000047,FIRE_NODE_0145,USER_NODE_09910,electrical_fire,shopping_mall,2026-05-14 12:13:23.298300,7,101.64,556.49,2833.49,20.76,0.124,0.615,0.31,0.3799,140.4,29.39,11,0.556,43.11,0.798,2598,84.98,critical,urgent,1,1,0.718,14024,135,2
ALERT_000048,FIRE_NODE_0259,USER_NODE_08005,forest_fire,residential_building,2026-05-14 12:13:26.298300,3,218.24,441.04,4163.45,21.55,0.685,0.763,0.586,0.3092,341.24,21.58,11,0.933,89.84,0.98,1735,78.96,critical,urgent,1,1,0.912,13638,141,2
ALERT_000049,FIRE_NODE_0023,USER_NODE_00059,forest_fire,industrial_area,2026-05-14 12:13:29.298300,9,209.21,282.98,892.58,53.17,0.579,0.843,0.176,0.5179,177.27,10.66,3,0.206,88.87,0.893,1810,316.22,critical,urgent,1,1,0.804,9088,361,2
ALERT_000050,FIRE_NODE_0219,USER_NODE_09190,urban_fire,commercial_complex,2026-05-14 12:13:32.298300,3,198.51,519.54,4193.04,33.54,0.383,0.468,0.321,0.4872,412.12,14.7,15,0.905,63.03,0.858,2831,544.35,critical,urgent,1,1,0.881,14859,76,2
ALERT_000051,FIRE_NODE_0280,USER_NODE_00591,warehouse_fire,shopping_mall,2026-05-14 12:13:35.298300,19,65.46,1132.61,3361.92,26.77,0.148,0.796,0.608,0.3491,717.24,47.53,9,0.194,58.7,0.772,607,447.65,critical,urgent,1,1,0.71,7091,65,2
ALERT_000052,FIRE_NODE_0022,USER_NODE_05051,forest_fire,residential_building,2026-05-14 12:13:38.298300,12,144.73,933.95,4457.77,27.24,0.823,0.12,0.812,0.0872,329.88,48.04,4,0.192,53.76,0.909,2794,433.42,moderate,high,1,1,0.886,4138,341,1
ALERT_000053,FIRE_NODE_0053,USER_NODE_05795,warehouse_fire,metro_station,2026-05-14 12:13:41.298300,20,166.44,687.85,1707.92,27.47,0.19,0.909,0.575,0.2635,380.36,56.89,12,0.196,75.17,0.847,634,368.82,critical,urgent,1,1,0.705,3928,442,2
ALERT_000054,FIRE_NODE_0084,USER_NODE_02901,building_fire,residential_building,2026-05-14 12:13:44.298300,6,197.62,1123.97,3086.59,50.28,0.923,0.71,0.187,0.3767,493.24,26.02,12,0.75,96.06,0.968,1361,273.25,critical,urgent,1,1,0.733,12868,476,2
ALERT_000055,FIRE_NODE_0211,USER_NODE_04066,forest_fire,industrial_area,2026-05-14 12:13:47.298300,4,217.35,1019.57,1148.52,64.85,0.871,0.524,0.582,0.2624,62.71,20.78,7,0.813,40.28,0.797,159,241.91,critical,urgent,1,1,0.856,14117,240,2
ALERT_000056,FIRE_NODE_0114,USER_NODE_03270,warehouse_fire,parking_area,2026-05-14 12:13:50.298300,12,205.97,467.91,2126.59,52.94,0.458,0.232,0.457,0.0959,157.58,30.4,5,0.448,94.89,0.805,933,350.45,moderate,high,1,1,0.883,3702,12,1
ALERT_000057,FIRE_NODE_0338,USER_NODE_03165,building_fire,shopping_mall,2026-05-14 12:13:53.298300,9,47.29,823.16,1383.36,67.47,0.157,0.42,0.127,0.648,411.71,36.13,14,0.114,85.0,0.761,285,539.34,critical,urgent,1,1,0.759,12720,142,2
ALERT_000058,FIRE_NODE_0180,USER_NODE_08347,building_fire,shopping_mall,2026-05-14 12:13:56.298300,1,78.37,120.94,2677.09,41.71,0.075,0.778,0.458,0.3432,363.79,24.65,2,0.582,49.31,0.753,1070,517.76,critical,urgent,1,1,0.974,2975,297,2
ALERT_000059,FIRE_NODE_0493,USER_NODE_04350,urban_fire,commercial_complex,2026-05-14 12:13:59.298300,20,110.33,383.23,3433.6,31.57,0.035,0.165,0.694,0.43,41.13,14.1,7,0.27,80.31,0.706,1416,66.94,critical,urgent,1,1,0.932,11986,402,2
ALERT_000060,FIRE_NODE_0161,USER_NODE_07150,industrial_fire,commercial_complex,2026-05-14 12:14:02.298300,13,76.25,811.08,1648.0,11.46,0.251,0.725,0.82,0.5405,329.8,40.42,15,0.245,57.59,0.96,2362,12.74,critical,urgent,1,1,0.725,3164,130,2
ALERT_000061,FIRE_NODE_0023,USER_NODE_07145,urban_fire,warehouse_zone,2026-05-14 12:14:05.298300,12,81.38,109.72,1398.32,42.9,0.427,0.894,0.786,0.2255,222.35,23.4,7,0.611,56.08,0.881,287,248.6,moderate,high,1,1,0.86,10932,471,1
ALERT_000062,FIRE_NODE_0170,USER_NODE_05144,kitchen_fire,commercial_complex,2026-05-14 12:14:08.298300,10,121.32,409.8,4773.19,54.63,0.149,0.87,0.489,0.582,643.89,26.09,9,0.071,56.12,0.857,1267,381.92,critical,urgent,1,1,0.775,10976,209,2
ALERT_000063,FIRE_NODE_0168,USER_NODE_06593,kitchen_fire,forest_region,2026-05-14 12:14:11.298300,18,69.39,1015.12,4931.37,39.17,0.18,0.28,0.067,0.5947,111.85,35.01,3,0.31,73.25,0.889,786,498.7,critical,urgent,1,1,0.76,6938,340,2
ALERT_000064,FIRE_NODE_0482,USER_NODE_06212,kitchen_fire,industrial_area,2026-05-14 12:14:14.298300,20,46.92,233.31,4560.08,61.8,0.601,0.605,0.649,0.1181,733.24,25.71,10,0.414,71.14,0.714,1233,103.94,moderate,high,1,1,0.914,6703,280,1
ALERT_000065,FIRE_NODE_0427,USER_NODE_00007,forest_fire,forest_region,2026-05-14 12:14:17.298300,7,59.49,755.53,1679.54,30.3,0.296,0.362,0.697,0.1966,461.8,29.09,7,0.68,96.21,0.912,2376,132.89,moderate,high,1,1,0.709,9989,335,1
ALERT_000066,FIRE_NODE_0165,USER_NODE_07619,building_fire,parking_area,2026-05-14 12:14:20.298300,7,90.9,746.49,826.27,37.26,0.601,0.341,0.744,0.0738,78.61,43.96,9,0.521,81.3,0.826,1939,151.61,low,medium,1,1,0.938,13054,461,0
ALERT_000067,FIRE_NODE_0492,USER_NODE_02781,kitchen_fire,commercial_complex,2026-05-14 12:14:23.298300,10,184.9,858.06,1797.44,43.36,0.367,0.101,0.876,0.0932,761.19,27.31,9,0.226,72.51,0.953,2720,440.67,moderate,high,1,1,0.934,10420,317,1
ALERT_000068,FIRE_NODE_0172,USER_NODE_01531,warehouse_fire,warehouse_zone,2026-05-14 12:14:26.298300,10,160.29,855.35,4336.46,21.23,0.495,0.229,0.939,0.6139,50.75,42.63,4,0.929,50.83,0.865,816,549.72,critical,urgent,1,1,0.71,2464,12,2
ALERT_000069,FIRE_NODE_0024,USER_NODE_04012,building_fire,commercial_complex,2026-05-14 12:14:29.298300,15,167.05,413.03,4667.34,68.12,0.945,0.479,0.826,0.5497,268.9,49.91,7,0.085,75.78,0.767,2580,76.74,critical,urgent,1,1,0.722,9481,99,2
ALERT_000070,FIRE_NODE_0368,USER_NODE_06292,building_fire,metro_station,2026-05-14 12:14:32.298300,8,166.85,460.66,3788.97,9.25,0.322,0.544,0.762,0.2106,508.2,53.27,3,0.635,53.98,0.707,2688,522.71,moderate,high,1,1,0.706,11316,2,1
ALERT_000071,FIRE_NODE_0458,USER_NODE_01747,warehouse_fire,metro_station,2026-05-14 12:14:35.298300,8,198.07,672.41,4731.9,56.92,0.998,0.357,0.74,0.2642,394.3,38.02,3,0.88,99.05,0.923,2851,253.57,critical,urgent,1,1,0.822,8536,237,2
ALERT_000072,FIRE_NODE_0026,USER_NODE_09133,electrical_fire,commercial_complex,2026-05-14 12:14:38.298300,15,174.08,347.43,1086.09,28.05,0.294,0.303,0.26,0.0322,33.94,59.28,3,0.456,63.06,0.897,1904,134.86,low,medium,1,1,0.975,10987,271,0
ALERT_000073,FIRE_NODE_0287,USER_NODE_09756,forest_fire,parking_area,2026-05-14 12:14:41.298300,20,182.61,180.14,2437.36,62.14,0.945,0.473,0.602,0.1127,793.11,14.67,14,0.946,78.98,0.876,2947,310.05,moderate,high,1,1,0.767,14664,258,1
ALERT_000074,FIRE_NODE_0219,USER_NODE_08977,building_fire,industrial_area,2026-05-14 12:14:44.298300,16,75.89,326.94,1420.33,55.67,0.357,0.067,0.922,0.575,743.65,59.7,8,0.215,63.77,0.92,1062,419.13,critical,urgent,1,1,0.745,12367,126,2
ALERT_000075,FIRE_NODE_0431,USER_NODE_04544,warehouse_fire,parking_area,2026-05-14 12:14:47.298300,8,187.77,331.37,1584.8,39.9,0.597,0.584,0.132,0.571,227.17,8.64,5,0.894,97.34,0.95,1802,486.66,critical,urgent,1,1,0.89,1319,365,2
ALERT_000076,FIRE_NODE_0147,USER_NODE_03842,forest_fire,shopping_mall,2026-05-14 12:14:50.298300,11,141.4,177.43,2397.19,29.22,0.267,0.726,0.496,0.0573,191.74,41.31,15,0.122,91.07,0.844,2213,290.95,low,medium,1,1,0.872,1370,70,0
ALERT_000077,FIRE_NODE_0078,USER_NODE_03789,building_fire,industrial_area,2026-05-14 12:14:53.298300,7,189.32,469.55,3583.27,41.77,0.274,0.88,0.768,0.4297,683.45,52.17,2,0.723,90.22,0.902,1700,409.68,critical,urgent,1,1,0.879,6728,169,2
ALERT_000078,FIRE_NODE_0278,USER_NODE_07634,building_fire,residential_building,2026-05-14 12:14:56.298300,7,176.73,257.64,4475.83,61.67,0.039,0.828,0.166,0.2212,599.94,10.48,14,0.827,89.93,0.847,1721,8.8,moderate,high,1,1,0.783,6431,463,1
ALERT_000079,FIRE_NODE_0395,USER_NODE_09570,kitchen_fire,residential_building,2026-05-14 12:14:59.298300,19,152.96,1178.93,3379.98,21.89,0.638,0.545,0.752,0.074,613.6,32.93,7,0.965,60.51,0.883,1954,559.56,low,medium,1,1,0.73,146,482,0
ALERT_000080,FIRE_NODE_0181,USER_NODE_04893,warehouse_fire,metro_station,2026-05-14 12:15:02.298300,14,209.01,850.43,898.48,24.56,0.711,0.077,0.574,0.2281,504.31,3.7,9,0.878,98.41,0.981,2237,451.04,moderate,high,1,1,0.738,13155,308,1
ALERT_000081,FIRE_NODE_0460,USER_NODE_03614,building_fire,warehouse_zone,2026-05-14 12:15:05.298300,9,177.7,107.54,697.34,26.03,0.494,0.773,0.665,0.2926,233.43,59.83,7,0.455,67.08,0.747,1990,477.91,critical,urgent,1,1,0.901,525,199,2
ALERT_000082,FIRE_NODE_0173,USER_NODE_06625,kitchen_fire,industrial_area,2026-05-14 12:15:08.298300,15,83.63,172.27,3594.2,47.54,0.281,0.951,0.186,0.2839,756.02,25.76,15,0.657,63.86,0.78,523,590.47,critical,urgent,1,1,0.819,10245,273,2
ALERT_000083,FIRE_NODE_0014,USER_NODE_06456,industrial_fire,residential_building,2026-05-14 12:15:11.298300,3,201.47,337.55,1537.66,7.02,0.655,0.375,0.828,0.3102,775.19,11.95,11,0.875,86.6,0.924,1756,507.65,critical,urgent,1,1,0.921,2273,443,2
ALERT_000084,FIRE_NODE_0237,USER_NODE_02978,urban_fire,forest_region,2026-05-14 12:15:14.298300,13,154.59,226.99,743.12,64.86,0.62,0.799,0.483,0.0807,117.64,41.45,6,0.459,52.03,0.843,867,43.2,moderate,high,1,1,0.869,7499,167,1
ALERT_000085,FIRE_NODE_0173,USER_NODE_06212,forest_fire,metro_station,2026-05-14 12:15:17.298300,9,92.07,973.27,1965.59,34.59,0.022,0.082,0.403,0.3146,488.02,18.21,14,0.71,91.61,0.926,336,28.57,critical,urgent,1,1,0.839,7755,9,2
ALERT_000086,FIRE_NODE_0384,USER_NODE_08838,urban_fire,shopping_mall,2026-05-14 12:15:20.298300,8,63.36,351.09,4941.32,14.26,0.504,0.622,0.682,0.366,27.62,20.26,11,0.542,45.27,0.802,282,24.76,critical,urgent,1,1,0.723,12849,490,2
ALERT_000087,FIRE_NODE_0334,USER_NODE_00660,warehouse_fire,residential_building,2026-05-14 12:15:23.298300,8,114.46,228.64,3097.18,49.82,0.803,0.208,0.201,0.0724,516.42,42.68,4,0.08,96.17,0.715,84,327.07,low,medium,1,1,0.906,10229,78,0
ALERT_000088,FIRE_NODE_0123,USER_NODE_02069,building_fire,commercial_complex,2026-05-14 12:15:26.298300,19,197.42,879.78,4127.6,27.06,0.817,0.089,0.855,0.3582,657.49,27.69,4,0.661,71.58,0.912,1905,53.57,critical,urgent,1,1,0.718,11510,131,2
ALERT_000089,FIRE_NODE_0393,USER_NODE_06044,electrical_fire,commercial_complex,2026-05-14 12:15:29.298300,6,88.24,258.69,4435.85,19.25,0.976,0.344,0.214,0.5144,533.79,30.39,5,0.578,83.15,0.766,443,597.82,critical,urgent,1,1,0.983,9531,13,2
ALERT_000090,FIRE_NODE_0476,USER_NODE_05112,industrial_fire,metro_station,2026-05-14 12:15:32.298300,13,158.81,303.49,3593.0,9.69,0.04,0.265,0.466,0.565,587.19,44.82,12,0.454,60.76,0.808,813,592.65,critical,urgent,1,1,0.712,1295,303,2
ALERT_000091,FIRE_NODE_0354,USER_NODE_03979,urban_fire,forest_region,2026-05-14 12:15:35.298300,20,196.73,728.12,2529.91,52.14,0.492,0.875,0.861,0.277,235.93,35.95,13,0.917,52.64,0.881,496,380.78,critical,urgent,1,1,0.913,13095,289,2
ALERT_000092,FIRE_NODE_0401,USER_NODE_00673,forest_fire,metro_station,2026-05-14 12:15:38.298300,12,68.02,881.72,4599.74,16.68,0.245,0.972,0.213,0.5561,403.98,15.59,2,0.877,66.72,0.849,2073,218.74,critical,urgent,1,1,0.872,10659,174,2
ALERT_000093,FIRE_NODE_0007,USER_NODE_06883,warehouse_fire,parking_area,2026-05-14 12:15:41.298300,4,73.62,518.01,4865.41,21.78,0.66,0.332,0.746,0.0894,776.46,27.77,7,0.274,44.41,0.749,1484,314.27,moderate,high,1,1,0.798,10463,456,1
